Recipe_Id,Nutrient,Values
54,Cholesterol,0 mg
54,Sodium,0.2 mg
55,Energy,132 cal
55,Protein,2.8 g
55,Carbohydrates,15 g
55,Fiber,0.5 g
55,Fat,5.7 g
55,Cholesterol,0 mg
55,Vitamin A,226.7 mcg
55,Vitamin B1,0 mg
55,Vitamin B2,0.1 mg
55,Vitamin B3,0.2 mg
55,Vitamin C,10.1 mg
55,Folic Acid,3.6 mcg
55,Calcium,120.2 mg
55,Iron,0.5 mg
55,Magnesium,0 mg
55,Phosphorus,0 mg
55,Sodium,11.4 mg
55,Potassium,65.4 mg
55,Zinc,0.1 mg
56,Energy,131 cal
56,Protein,4.2 g
56,Carbohydrates,2.1 g
56,Fiber,0.3 g
56,Fat,11.8 g
56,Cholesterol,0 mg
56,Sodium,0 mg
57,Energy,339 cal
57,Protein,9.8 g
57,Carbohydrates,25.1 g
57,Fiber,0.2 g
57,Fat,18.2 g
57,Cholesterol,26.7 mg
57,Sodium,31.7 mg
58,Energy,224 cal
58,Protein,3.4 g
58,Carbohydrates,24.9 g
58,Fiber,0.4 g
58,Fat,12.2 g
58,Cholesterol,0 mg
58,Sodium,0.4 mg
59,Energy,700 cal
59,Protein,10.4 g
59,Carbohydrates,97.7 g
59,Fiber,0.9 g
59,Fat,29.5 g
59,Cholesterol,0.1 mg
59,Sodium,0 mg
60,Energy,1191 cal
60,Protein,15.9 g
60,Carbohydrates,201.6 g
60,Fiber,1 g
60,Fat,35.2 g
60,Cholesterol,0.1 mg
60,Sodium,9 mg
61,Energy,31 cal
61,Protein,0.9 g
61,Carbohydrates,1.1 g
61,Fiber,0 g
61,Fat,2.7 g
61,Cholesterol,0.8 mg
61,Sodium,1 mg
62,Energy,31 cal
62,Protein,0.9 g
62,Carbohydrates,1.1 g
62,Fiber,0 g
62,Fat,2.7 g
62,Cholesterol,0.8 mg
62,Sodium,1 mg
63,Energy,98 cal
63,Protein,2.1 g
63,Carbohydrates,8.1 g
63,Fiber,0.1 g
63,Fat,6.1 g
63,Cholesterol,2.3 mg
63,Sodium,2.7 mg
64,Energy,99 cal
64,Protein,2 g
64,Carbohydrates,8.1 g
64,Fiber,0.9 g
64,Fat,6.6 g
64,Cholesterol,3.8 mg
64,Sodium,18.7 mg
65,Energy,1056 cal
65,Protein,10 g
65,Carbohydrates,99.2 g
65,Fiber,1.3 g
65,Fat,68.7 g
65,Cholesterol,159.4 mg
65,Sodium,549 mg
