,id,name,hind_name,wikipedia_links
1053,44601,Toasts , ,https://en.wikipedia.org/wiki/Toasts 
1054,44613,Methi , ,https://en.wikipedia.org/wiki/Methi 
1055,44788,Cashewnuts ,Kaju,https://en.wikipedia.org/wiki/Cashewnuts 
1056,44805,Corn Tortillas , ,https://en.wikipedia.org/wiki/Corn tortillas 
1057,44970,Taco Seasoning , ,https://en.wikipedia.org/wiki/Taco seasoning 
1058,44974,Monterey Jack Cheese , ,https://en.wikipedia.org/wiki/Monterey jack cheese 
1059,44981,Chunky , ,https://en.wikipedia.org/wiki/Chunky 
1060,45480,Avocado Dip , ,https://en.wikipedia.org/wiki/Avocado dip 
1061,45500,Hummus , ,https://en.wikipedia.org/wiki/Hummus 
1062,45501,Baba Ganoush , ,https://en.wikipedia.org/wiki/Baba ganoush 
1063,45502,Capsicum Walnut Dip , ,https://en.wikipedia.org/wiki/Capsicum walnut dip 
1064,45504,Fattoush , ,https://en.wikipedia.org/wiki/Fattoush 
1065,45505,Pita Breads , ,https://en.wikipedia.org/wiki/Pita breads 
1066,45509,Spinach Sambousik , ,https://en.wikipedia.org/wiki/Spinach sambousik 
1067,45510,Pickled Vegetables , ,https://en.wikipedia.org/wiki/Pickled vegetables 
1068,45799,Masala Cashewnuts , ,https://en.wikipedia.org/wiki/Masala cashewnuts 
1069,45879,Bikaneri Bhujia , ,https://en.wikipedia.org/wiki/Bikaneri bhujia 
1070,45990,Brown Bread Burger Buns , ,https://en.wikipedia.org/wiki/Brown bread burger buns 
1071,46217,Lentils Flour ,Urad Dal,https://en.wikipedia.org/wiki/Lentils flour 
1072,46261,Limca , ,https://en.wikipedia.org/wiki/Limca 
1073,46568,Yam Raita , ,https://en.wikipedia.org/wiki/Yam raita 
1074,46692,Farsan , ,https://en.wikipedia.org/wiki/Farsan 
1075,47133,Chilli Garlic Chutney , ,https://en.wikipedia.org/wiki/Chilli garlic chutney 
1076,47160,Uncooked Rice ,Chawal,https://en.wikipedia.org/wiki/Uncooked rice 
1077,47265,Sprout , ,https://en.wikipedia.org/wiki/Sprout 
1078,47616,Pastry , ,https://en.wikipedia.org/wiki/Pastry 
