id,name,hind_name,wikipedia_links
137,Baking Soda ,,https://en.wikipedia.org/wiki/Baking soda 
138,Apple Cider ,,https://en.wikipedia.org/wiki/Apple cider 
139,Organic Honey ,, 
140,Strawberries ,,https://en.wikipedia.org/wiki/Strawberries 
141,Lychees ,,https://en.wikipedia.org/wiki/Lychees 
142,Agar-Agar ,,https://en.wikipedia.org/wiki/Agar-agar 
143,Nutmeg ,Jaiphal,https://en.wikipedia.org/wiki/Nutmeg 
144,Saffron ,Kesar,https://en.wikipedia.org/wiki/Saffron 
145,Rolling Board ,, 
146,Rolling Pin ,,https://en.wikipedia.org/wiki/Rolling pin 
147,Knife ,,https://en.wikipedia.org/wiki/Knife 
148,Vanilla Cake ,, 
149,Butter Cream ,,https://en.wikipedia.org/wiki/Butter cream 
150,Pastry Comb ,, 
151,Praline ,,https://en.wikipedia.org/wiki/Praline 
152,Piping Bag ,,https://en.wikipedia.org/wiki/Piping bag 
153,Turntable ,,https://en.wikipedia.org/wiki/Turntable 
154,nan ,,https://en.wikipedia.org/wiki/Nan 
155,Sesame ,Kala Til,https://en.wikipedia.org/wiki/Sesame 
156,Jaggery ,Gur,https://en.wikipedia.org/wiki/Jaggery 
157,Kashmiri Chilli ,, 
158,Corn ,Makai Ke Dane,https://en.wikipedia.org/wiki/Corn 
159,Bean ,,https://en.wikipedia.org/wiki/Bean 
160,Mushroom ,,https://en.wikipedia.org/wiki/Mushroom 
161,Pak Choi ,,https://en.wikipedia.org/wiki/Pak choi 
162,Vegetable ,,https://en.wikipedia.org/wiki/Vegetable 
163,Cornflour ,,https://en.wikipedia.org/wiki/Cornflour 
164,Wheat Noodles ,, 
165,Potato ,,https://en.wikipedia.org/wiki/Potato 
166,Rajgira Flour ,, 
167,Chutney ,,https://en.wikipedia.org/wiki/Chutney 
168,Tomato Ketchup ,,https://en.wikipedia.org/wiki/Tomato ketchup 
169,Bay Leaf ,Tejpatta,https://en.wikipedia.org/wiki/Bay leaf 
170,Clove ,Laung / Lavang,https://en.wikipedia.org/wiki/Clove 
171,Mint Chutney ,Phudina,https://en.wikipedia.org/wiki/Mint chutney 
172,Imli Chutney ,, 
173,Radish ,Mooli,https://en.wikipedia.org/wiki/Radish 
174,Baby Potatoes ,, 
175,Garlic Chutney ,,https://en.wikipedia.org/wiki/Garlic chutney 
176,Chana Dal ,,https://en.wikipedia.org/wiki/Chana dal 
177,Sev ,,https://en.wikipedia.org/wiki/Sev 
178,Taco Shells ,, 
179,Bread ,,https://en.wikipedia.org/wiki/Bread 
180,Chilli-Garlic Sauce ,, 
181,Chillies Vinegar ,, 
182,Cauliflower ,,https://en.wikipedia.org/wiki/Cauliflower 
183,Bayleaves ,, 
184,Papad ,,https://en.wikipedia.org/wiki/Papad 
185,Pickle ,,https://en.wikipedia.org/wiki/Pickle 
186,Paratha ,,https://en.wikipedia.org/wiki/Paratha 
187,Aniseeds ,Vilayati Saunf, 
188,Yeast ,,https://en.wikipedia.org/wiki/Yeast 
189,Sour Sauce ,, 
190,Pomegranate ,Anardana,https://en.wikipedia.org/wiki/Pomegranate 
191,Based ,,https://en.wikipedia.org/wiki/Based 
192,Tofu ,Bean Curd/ Soya Paneer,https://en.wikipedia.org/wiki/Tofu 
193,Spinach ,Palak,https://en.wikipedia.org/wiki/Spinach 
