,0,1,2,3
280,47,Carbohydrates,8.1,g
281,47,Fiber,2.3,g
282,47,Fat,23.7,g
283,47,Cholesterol,0.0,mg
284,47,Vitamin A,157.0,mcg
285,47,Vitamin B1,0.1,mg
286,47,Vitamin B2,0.1,mg
287,47,Vitamin B3,0.8,mg
288,47,Vitamin C,9.3,mg
289,47,Folic Acid,8.3,mcg
290,47,Calcium,60.2,mg
291,47,Iron,1.3,mg
292,47,Magnesium,0.0,mg
293,47,Phosphorus,0.0,mg
294,47,Sodium,2.6,mg
295,47,Potassium,70.0,mg
296,47,Zinc,0.7,mg
297,48,Energy,127.0,cal
298,48,Protein,3.6,g
299,48,Carbohydrates,15.1,g
300,48,Fiber,0.6,g
301,48,Fat,6.2,g
302,48,Cholesterol,0.0,mg
303,48,Sodium,1.4,mg
304,49,Energy,78.0,cal
305,49,Protein,1.5,g
306,49,Carbohydrates,8.7,g
307,49,Fiber,0.1,g
308,49,Fat,4.0,g
309,49,Cholesterol,0.0,mg
310,49,Vitamin A,102.3,mcg
311,49,Vitamin B1,0.0,mg
312,49,Vitamin B2,0.0,mg
313,49,Vitamin B3,0.3,mg
314,49,Vitamin C,0.0,mg
315,49,Folic Acid,0.2,mcg
316,49,Calcium,12.8,mg
317,49,Iron,0.3,mg
318,49,Magnesium,0.0,mg
319,49,Phosphorus,0.0,mg
320,49,Sodium,26.0,mg
321,49,Potassium,13.4,mg
322,49,Zinc,0.1,mg
323,50,Energy,103.0,cal
324,50,Protein,2.1,g
325,50,Carbohydrates,10.4,g
326,50,Fiber,0.1,g
327,50,Fat,5.8,g
328,50,Cholesterol,7.9,mg
329,50,Sodium,26.0,mg
330,51,Energy,95.0,cal
331,51,Protein,3.1,g
332,51,Carbohydrates,2.3,g
333,51,Fiber,1.2,g
334,51,Fat,8.4,g
335,51,Cholesterol,0.0,mg
336,51,Sodium,251.0,mg
337,52,Energy,381.0,cal
338,52,Protein,5.3,g
339,52,Carbohydrates,17.2,g
340,52,Fiber,1.9,g
341,52,Fat,32.7,g
342,52,Cholesterol,65.0,mg
343,52,Sodium,292.6,mg
344,53,Energy,381.0,cal
345,53,Protein,5.3,g
346,53,Carbohydrates,17.2,g
347,53,Fiber,1.9,g
348,53,Fat,32.7,g
349,53,Cholesterol,65.0,mg
350,53,Sodium,292.6,mg
351,54,Energy,102.0,cal
352,54,Protein,4.4,g
353,54,Carbohydrates,2.9,g
354,54,Fiber,1.3,g
355,54,Fat,8.3,g
356,54,Cholesterol,0.0,mg
357,54,Sodium,1.3,mg
358,55,Energy,146.0,cal
359,55,Protein,4.2,g
360,55,Carbohydrates,6.2,g
361,55,Fiber,0.3,g
362,55,Fat,11.8,g
363,55,Cholesterol,0.0,mg
364,55,Sodium,0.2,mg
365,56,Energy,132.0,cal
366,56,Protein,2.8,g
367,56,Carbohydrates,15.0,g
368,56,Fiber,0.5,g
369,56,Fat,5.7,g
370,56,Cholesterol,0.0,mg
371,56,Vitamin A,226.7,mcg
372,56,Vitamin B1,0.0,mg
373,56,Vitamin B2,0.1,mg
374,56,Vitamin B3,0.2,mg
375,56,Vitamin C,10.1,mg
376,56,Folic Acid,3.6,mcg
377,56,Calcium,120.2,mg
378,56,Iron,0.5,mg
379,56,Magnesium,0.0,mg
380,56,Phosphorus,0.0,mg
381,56,Sodium,11.4,mg
