recipe_id,key,value,unit
57,Sodium,0,mg
58,Energy,339,cal
58,Protein,9.8,g
58,Carbohydrates,25.1,g
58,Fiber,0.2,g
58,Fat,18.2,g
58,Cholesterol,26.7,mg
58,Sodium,31.7,mg
59,Energy,224,cal
59,Protein,3.4,g
59,Carbohydrates,24.9,g
59,Fiber,0.4,g
59,Fat,12.2,g
59,Cholesterol,0,mg
59,Sodium,0.4,mg
60,Energy,224,cal
60,Protein,3.4,g
60,Carbohydrates,24.9,g
60,Fiber,0.4,g
60,Fat,12.2,g
60,Cholesterol,0,mg
60,Sodium,0.4,mg
61,Energy,224,cal
61,Protein,3.4,g
61,Carbohydrates,24.9,g
61,Fiber,0.4,g
61,Fat,12.2,g
61,Cholesterol,0,mg
61,Sodium,0.4,mg
62,Energy,31,cal
62,Protein,0.9,g
62,Carbohydrates,1.1,g
62,Fiber,0,g
62,Fat,2.7,g
62,Cholesterol,0.8,mg
62,Sodium,1,mg
63,Energy,31,cal
63,Protein,0.9,g
63,Carbohydrates,1.1,g
63,Fiber,0,g
63,Fat,2.7,g
63,Cholesterol,0.8,mg
63,Sodium,1,mg
64,Energy,31,cal
64,Protein,0.9,g
64,Carbohydrates,1.1,g
64,Fiber,0,g
64,Fat,2.7,g
64,Cholesterol,0.8,mg
64,Sodium,1,mg
65,Energy,99,cal
65,Protein,2,g
65,Carbohydrates,8.1,g
65,Fiber,0.9,g
65,Fat,6.6,g
65,Cholesterol,3.8,mg
65,Sodium,18.7,mg
66,Energy,99,cal
66,Protein,2,g
66,Carbohydrates,8.1,g
66,Fiber,0.9,g
66,Fat,6.6,g
66,Cholesterol,3.8,mg
66,Sodium,18.7,mg
68,Energy,75,cal
68,Protein,1.6,g
68,Carbohydrates,6,g
68,Fiber,0.6,g
68,Fat,4.9,g
68,Cholesterol,0,mg
68,Sodium,0.3,mg
69,Energy,75,cal
69,Protein,1.6,g
69,Carbohydrates,6,g
69,Fiber,0.6,g
69,Fat,4.9,g
69,Cholesterol,0,mg
69,Sodium,0.3,mg
70,Energy,131,cal
70,Protein,2,g
70,Carbohydrates,13.7,g
70,Fiber,2.4,g
70,Fat,7.6,g
70,Cholesterol,0,mg
70,Sodium,144.9,mg
71,Energy,157,cal
71,Protein,2.8,g
71,Carbohydrates,20.4,g
71,Fiber,2.2,g
71,Fat,6.2,g
71,Cholesterol,6,mg
71,Sodium,13.1,mg
72,Energy,157,cal
72,Protein,2.8,g
72,Carbohydrates,20.4,g
72,Fiber,2.2,g
72,Fat,6.2,g
72,Cholesterol,6,mg
72,Sodium,13.1,mg
73,Energy,120,cal
73,Protein,2.1,g
73,Carbohydrates,15.7,g
73,Fiber,1.5,g
73,Fat,5.4,g
73,Cholesterol,0.6,mg
73,Sodium,11.6,mg
74,Energy,357,cal
74,Protein,4.7,g
74,Carbohydrates,53.5,g
74,Fiber,6.3,g
74,Fat,12.6,g
74,Cholesterol,0,mg
74,Vitamin A,643.4,mcg
74,Vitamin B1,0.2,mg
74,Vitamin B2,0.1,mg
74,Vitamin B3,1.5,mg
74,Vitamin C,41.5,mg
74,Folic Acid,16,mcg
74,Calcium,182.5,mg
74,Iron,1.4,mg
74,Magnesium,0,mg
74,Phosphorus,0,mg
